company,frequency,recency,monetary,low_hp,medium_hp,high_hp,old_,recent_,low_mileage,medium_mileage,high_mileage,less_5k,_5k_10k_,_10k_,profit_per_car
URBAN MOTORS DOOEL uvoz-izvoz Ilinden,1,7,3,0,1,0,1,0,0,0,1,0,1,0,1122
"Autohandel Bollig, Inh. Fabian Bollig",1,7,2,2,0,0,2,0,0,2,0,2,0,0,521.5
"Abu Automobile Regensburg, Inh. Muayad Abu-Baker Mohammed Mohammed",1,4,6,1,0,1,0,2,0,2,0,0,0,2,1690
Saxonia CARS & FINANCE Dresden GmbH,1,3,9,0,1,1,0,2,2,0,0,0,0,2,1866.5
"Auto Galerie Avan, Inh. Abdulkerim Avan",1,6,4,0,0,1,1,0,0,1,0,0,0,1,110
Autohaus Walter Mulfinger GmbH,1,10,5,1,0,0,0,1,1,0,0,0,0,1,1044
"KleinWagenCenter Köhler & Sohn, Inh. Ralf Köhler",4,10,7,11,1,0,11,1,9,3,0,9,2,1,665.8333333
VAG-Specialist,1,7,6,2,0,0,0,2,2,0,0,0,0,2,1127
Pavel Malina,3,5,5,6,1,0,5,2,0,4,3,5,1,1,396.4285714
"Kfz-Handel Uttich, Inh. Thorsten Uttich",7,3,9,42,2,0,40,4,44,0,0,28,14,2,703.5681818
MARCIO FREITAS - COMERCIO DE AUTOMOVEIS UNIPESSOAL LDA,2,9,4,3,0,0,3,0,1,2,0,1,2,0,583.6666667
Tomas Varga,1,6,4,0,2,0,2,0,0,1,1,0,2,0,611.5
"Auto Frazzetta, Inh. Manuela Frazzetta",1,8,4,1,0,0,0,1,1,0,0,0,0,1,931
MONDO CARMARKET d. o. o.,1,6,3,1,0,0,1,0,0,1,0,0,1,0,510
BIBACAR DI CALLEGARO ANTONIO,1,4,5,2,0,0,0,2,2,0,0,0,0,2,1356.5
Exklusiv Automobile Kerstin Kaufhold,5,2,9,15,0,0,13,2,8,7,0,3,4,8,845.2666667
PERSPETIVA DINAMICA - UNIPESSOAL LDA,1,10,5,2,0,0,0,2,0,2,0,0,0,2,780.5
F.H.U Avant Import-Export,2,7,2,2,2,0,4,0,0,3,1,4,0,0,-217.25
Intersari SPRL,3,3,3,4,1,0,5,0,0,4,1,5,0,0,374.2
BND UNLIMITED ENGINEERING SL,1,9,4,0,0,1,0,1,0,1,0,0,0,1,419
Next-level,1,10,2,2,0,0,2,0,0,2,0,2,0,0,345
SONERS AUTO EOOD,3,5,5,4,1,0,1,4,4,1,0,1,4,0,323.8
Vergin Colour Technology UG (haftungsbeschränkt),1,1,3,0,1,0,1,0,0,1,0,0,1,0,675
Petr Bošek,3,6,3,5,0,0,5,0,0,0,5,5,0,0,323
"Tabak Automobile, Inh. Deniz Tabak",2,7,4,2,2,0,4,0,0,2,2,4,0,0,68.25
FASHION CARS ROMA S.R.L.S. A SOCIO UNICO,2,10,5,3,0,0,2,1,1,1,1,1,0,2,427.3333333
"Automobile Böntgen, Inh. Stefan Siebelt",1,10,4,0,1,0,0,1,1,0,0,0,0,1,755
Budai Auto Trader KFT,1,8,2,0,2,0,2,0,0,0,2,2,0,0,470.5
BEST AUTOSERV MDM S.R.L.,1,10,3,2,0,0,1,1,0,1,1,1,1,0,565.5
AUTOHANDEL BRABANT,1,2,2,1,0,0,1,0,0,1,0,1,0,0,437
RAGOLE MOTOR SL,1,8,2,0,1,0,1,0,0,1,0,1,0,0,-413
Autohaus Royal GmbH,9,7,12,7,33,32,11,61,63,9,0,0,0,72,857.3472222
PHU DARIUSZ MUSZYŃSKI,2,10,2,3,0,0,3,0,0,3,0,3,0,0,383.6666667
Automobile Hailer,3,7,7,9,0,0,8,1,9,0,0,5,3,1,622
DOMUS CAR SRLS,6,1,8,19,0,1,19,1,1,15,4,19,0,1,630.15
FRANK MOTORS TRADE KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,1,10,1,1,0,0,1,0,0,0,1,1,0,0,240
Jiří Strnad,3,6,6,7,1,0,7,1,1,6,1,3,5,0,274.875
Autopark Dillingen,1,7,3,2,0,0,2,0,1,1,0,2,0,0,425.5
RAF Motors A/S,6,4,11,15,5,7,0,27,27,0,0,0,0,27,1643.703704
Vakgarage Vlaar en Smal,3,7,9,4,3,1,4,4,5,3,0,0,1,7,506.125
"ANDRZEJ SROMEK ""AS PUMA"" HANDEL-USŁUGI",1,8,2,0,2,0,2,0,0,0,2,2,0,0,414
SONHO TRANSVERSAL - COMERCIO DE AUTOMOVEIS UNIPESSOAL LDA,1,7,4,2,0,0,1,1,0,2,0,0,2,0,-36.5
IMPACT FORTE S.R.L.,1,9,2,1,0,0,1,0,1,0,0,1,0,0,490
LAND OF IDEAS LDA,1,10,2,1,0,0,1,0,0,1,0,1,0,0,719
VAKGARAGE LEITHON B.V.,4,8,9,10,1,1,0,12,9,3,0,0,2,10,751.3333333
BALKAN FREIGHT EOOD,1,9,2,0,1,0,1,0,0,0,1,1,0,0,725
PARADA MORALES & BOLAÑO SL,4,8,7,10,1,0,10,1,1,10,0,6,4,1,650.4545455
Autohaus Wolde GmbH,1,10,6,0,0,2,0,2,2,0,0,0,0,2,-291.5
Hyundai Autohaus Damm,1,10,2,1,0,0,1,0,1,0,0,1,0,0,518
SOAUTO VGRP - COMERCIO DE AUTOMOVEIS S.A,2,8,8,2,1,0,0,3,3,0,0,0,0,3,1278
Autohaus Kühnl & Eck GmbH,1,10,5,1,0,0,0,1,1,0,0,0,0,1,200
EURL AUTO FORUM 68,5,5,9,1,12,4,15,2,9,8,0,0,6,11,1054.588235
BM CONCEPT,3,7,5,6,0,0,5,1,5,1,0,5,0,1,486
Ing. Tomáš Laněk,1,9,6,0,2,0,2,0,1,1,0,0,1,1,585.5
A PHARMA LTD,1,10,3,1,0,0,0,1,0,0,1,0,1,0,291
VB CAR SALES LTD,1,10,2,1,0,0,1,0,0,0,1,1,0,0,920
Houbracken Alain BVBA,2,9,7,4,0,0,0,4,4,0,0,0,0,4,1011.25
"""SKORPION"" AUTO - KOMIS KRZYSZTOF SAMULEWICZ",1,10,2,1,0,0,1,0,0,1,0,1,0,0,1004
PATRICIJA USLUGE j.d.o.o.,2,9,5,3,0,0,1,2,2,1,0,1,1,1,601
Van Tilburg Bastianen B.V. Occasion Center Roosendaal,6,8,10,22,3,0,0,25,23,2,0,0,1,24,1075.52
SASU BONNET AUTOS SPORT,7,5,10,25,8,3,11,25,36,0,0,6,15,15,987.2222222
TENTATION 911,3,8,10,0,1,7,8,0,6,2,0,0,0,8,64.5
AUTO-VIGER NV,1,10,5,0,1,0,0,1,1,0,0,0,0,1,1696
POL-GLOB Józef Gołąb,1,10,1,0,1,0,1,0,0,0,1,1,0,0,327
Louwman Occasion Center B.V. (Mercedes-Benz),3,10,9,0,5,1,2,4,5,1,0,0,0,6,736
AVTO ST-SI DOO uvoz-izvoz Skopje,6,3,6,20,0,0,20,0,0,5,15,20,0,0,652.65
AUTOBEDRIJF G. STEEVENS V.O.F.,4,7,9,4,8,0,5,7,8,3,1,0,0,12,975.5
EURL RMD AUTOMOBILES,1,10,2,1,0,0,1,0,1,0,0,1,0,0,543
"VR-Automobile, Inh. Vitalij Reich",2,7,3,0,3,0,3,0,0,1,2,3,0,0,386.3333333
EURL TREHOUT,1,10,3,1,0,0,0,1,1,0,0,0,1,0,793
"MH Automobile, Inh. Martin Hacker",1,9,2,1,0,0,1,0,0,1,0,1,0,0,191
M GRUPA ŁUKASZ MACIEJKOWICZ,1,10,3,2,0,0,2,0,0,2,0,2,0,0,596
FALCONCHAPTER - UNIPESSOAL LDA,1,9,2,1,0,0,1,0,0,1,0,1,0,0,98
KALAITZAKIS FILIPPOS IOANNIS || 4WHEELS CARS,1,9,3,2,0,0,0,2,0,2,0,2,0,0,120
ADNEX CONSORTIUM S.R.L.,1,10,4,1,0,0,0,1,0,1,0,0,0,1,413
"JB.Automobilagentur, Inh. Jalale Boinane",1,10,2,1,1,0,2,0,0,1,1,2,0,0,566
AM Cars SIA,2,3,3,1,2,0,3,0,0,0,3,3,0,0,625
LOG-TRANS STASZCZAK EDWARD STASZCZAK,1,10,3,1,0,0,0,1,1,0,0,0,1,0,-3292
CASTAUTO DI CASTAGNARO RICCARDO,4,7,10,1,3,6,10,0,2,8,0,1,1,8,1072.3
Beelen Trading,1,6,3,1,0,0,1,0,0,1,0,0,1,0,768
Autohaus Engelbart GmbH & Co. KG,2,3,8,0,3,0,0,3,3,0,0,0,0,3,-149
AUTOGROUP  OOD,4,4,7,13,0,0,8,5,0,9,4,6,6,1,716.6923077
Assistance Drive Car s.r.o.,1,10,2,0,0,1,1,0,0,0,1,1,0,0,-652
"Goldreichautomobile, Inh. Michael Fecken",2,1,4,2,1,0,2,1,1,1,1,2,0,1,577
AURES Holdings a.s.,9,4,12,96,53,0,109,40,8,95,46,9,83,57,865.9328859
G & A Motors bvba,1,9,5,2,0,0,0,2,2,0,0,0,0,2,1509
"Autohaus Gebhard, Inh.  Bernd Gebhard",3,3,5,6,1,0,7,0,1,3,3,4,3,0,-205.1428571
GROCHOWSKI HENRYK FORNIX,1,10,2,0,1,0,1,0,0,0,1,1,0,0,596
Autobedrijf van der Putten,1,7,5,1,0,0,0,1,1,0,0,0,0,1,724
Gebrauchtwagenhaus Wittlich OHG,1,10,5,1,0,0,0,1,1,0,0,0,0,1,1157
A.D.R. MOTORSPORT S.A.S. DI A. DAZZAN & C.,1,9,9,0,0,2,1,1,1,1,0,0,0,2,2333.5
JIM AUTO D.O.O.,2,7,4,4,0,0,4,0,1,3,0,3,1,0,690.5
CASA,1,10,1,1,0,0,1,0,1,0,0,1,0,0,96
TR Premium Cars,1,8,6,0,0,1,0,1,1,0,0,0,0,1,-7939
AUTODIAG 19,1,10,4,0,0,1,1,0,0,1,0,0,0,1,505
"KellmerCars, Inh. Philip Kellmer",1,9,4,2,0,0,2,0,1,1,0,1,1,0,919.5
GROUPE GUEUDET - AUTOMOBILE DE L’ALLIANCE - ST QUENTIN - NISSAN,6,3,11,6,11,8,1,24,22,3,0,0,0,25,965.52
Merz + Renz GmbH + Co. KG,4,9,10,2,9,0,0,11,11,0,0,0,0,11,1165.727273
"KFZ-Nibler, Inh. Michael Nibler",1,10,3,0,1,0,1,0,0,0,1,0,1,0,298
AutoArenA-Star GmbH,1,5,4,0,1,0,0,1,0,0,1,0,0,1,1823
BOGAR AUTOMOBILE,6,4,10,14,12,0,7,19,8,12,6,3,2,21,579.7692308
EBVBA GARAGE TRADING,2,9,7,1,3,0,1,3,4,0,0,0,0,4,1058.25
BULKAR PETKOV EOOD,1,7,2,0,1,0,1,0,0,0,1,1,0,0,277
REVEN NASTJA - CENTER VOZIL d.o.o.,1,7,4,0,1,0,0,1,0,1,0,0,0,1,551
Mercedes-Benz Theo Bähr GmbH,1,10,7,1,1,0,0,2,2,0,0,0,0,2,524.5
H3 meine Autowerkstatt GmbH & Co. KG,2,4,6,3,1,0,1,3,1,3,0,0,2,2,845.25
GS AUTOMOBILI S.A.S. DI GREGGIO SIMONE & C.,3,4,9,2,5,0,4,3,5,2,0,0,2,5,1224.714286
PURDEA MIHAIL PERSOANĂ FIZICĂ AUTORIZATĂ,4,3,5,8,2,0,10,0,1,7,2,8,2,0,535.9
AUTO PASSION MARCIN PASIONEK,3,6,5,6,0,0,6,0,1,5,0,5,1,0,526.8333333
UAB Eurovanas,1,9,3,1,0,0,1,0,0,0,1,0,1,0,824
SAS JN AUTO CLASSIC,1,9,5,0,0,1,1,0,0,1,0,0,0,1,1365
А1 AUTOMOBILE Ltd.,1,1,4,2,0,0,1,1,1,1,0,1,1,0,539.5
DOBROKAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,4,3,6,6,4,0,9,1,0,3,7,6,3,1,573.6
D PSOMIADIS N PAPADOPOYLOS OE,4,4,8,12,0,0,3,9,6,6,0,3,3,6,674.5833333
Grühn & Grühn GbR,1,10,6,1,0,0,0,1,1,0,0,0,0,1,1849
SASU SPEED AUTOMOBILES 57,9,2,12,66,46,4,100,16,51,65,0,19,41,56,792.4568966
"Auto-Bube, Inh. Bastian Bube",1,9,7,1,1,0,0,2,2,0,0,0,0,2,718.5
"BestCars Axel Lehmann, Inh. Axel Lehmann",6,1,10,19,1,0,4,16,20,0,0,0,3,17,792.1
"E.R.cars, s.r.o.",1,4,5,0,1,0,0,1,0,1,0,0,0,1,774
G.O.D. AUTOMOBILE SRL,2,10,4,2,2,0,4,0,0,3,1,3,1,0,482.25
GARAGE DE LA MAIRIE,2,8,4,3,0,0,3,0,2,1,0,2,1,0,992.6666667
DE CABRIOHOEVE V.O.F.,1,9,5,0,2,0,1,1,2,0,0,0,0,2,1034.5
LKW Thewalt GbR,2,1,5,2,2,0,4,0,0,1,3,1,3,0,690
Weidendorfer Automobile GmbH,1,9,6,1,1,0,0,2,2,0,0,0,0,2,-250
MJC - AUTOMÓVEIS LDA,1,10,2,1,0,0,1,0,0,1,0,1,0,0,512
"PIERÓG TOMASZ P.U.H. ""TOMEX"" AUTO-HANDEL",6,5,6,17,3,0,20,0,2,8,10,19,1,0,449.9
Autosalon ''Maan'' Kurtović j.d.o.o.,1,8,5,0,1,0,0,1,0,1,0,0,0,1,526
Auto Verheij,1,9,6,0,0,1,0,1,1,0,0,0,0,1,877
"OZ Automobile, Inh. Mehmet Osanmaz",4,5,7,12,0,1,12,1,1,11,1,10,2,1,620.9230769
VILAND 07 LTD,3,5,6,1,4,1,6,0,0,0,6,1,4,1,871.1666667
Tomáš Tetiva,1,10,2,1,0,0,1,0,0,0,1,1,0,0,897
DIEGO PASCUAL ESPINA MUÑOZ,3,9,7,6,0,0,5,1,2,4,0,0,4,2,663.3333333
Vladimír Nedvěd,2,10,4,2,1,0,3,0,0,1,2,0,3,0,1012.666667
KMGLASS,1,10,4,0,0,1,1,0,0,0,1,0,0,1,1065
*Be Happy* Bogdan Ryfka,2,9,3,3,0,0,3,0,0,2,1,3,0,0,625
RX3 DYNAMI SL,2,5,4,3,0,0,0,3,2,1,0,0,3,0,691
KOVÁCSNÉ CSUR JUDIT E.V.,3,3,4,9,0,0,9,0,0,8,1,9,0,0,431.8888889
RX Mobil Kft.,6,5,8,5,21,1,27,0,0,18,9,22,4,1,366.2222222
Autohaus Schmitt GmbH,2,7,7,4,0,0,1,3,4,0,0,0,1,3,957.25
MARBONSAI SRL,2,9,4,4,0,0,4,0,0,4,0,4,0,0,447.75
"Autohaus Engelnstedt, Inh. Mehmet Balci",5,4,10,13,3,0,0,16,12,4,0,0,0,16,1759.125
AUTO-MOBIL d.o.o.,1,6,3,2,0,0,2,0,0,2,0,2,0,0,643.5
Autohaus Tobaben GmbH & Co. KG Stade,5,4,10,6,8,1,0,15,15,0,0,0,4,11,1515.733333
"Yama Automobile, Inh. Walli Qareshi",3,5,4,7,0,0,7,0,3,4,0,6,1,0,325.5714286
GERGELY NORBERT E.V.,1,10,3,2,0,0,2,0,0,1,1,2,0,0,403
Benelux Cars SIA,3,7,7,2,5,2,8,1,0,3,6,2,7,0,471.2222222
Kaji auto,1,7,3,0,0,1,1,0,0,1,0,0,1,0,-3462
Daco Autobedrijf,1,10,5,1,0,0,0,1,1,0,0,0,0,1,530
WAMICAR.COM GMBH,1,10,5,2,0,0,0,2,2,0,0,0,1,1,-306.5
Carma Car ApS,2,9,9,1,1,2,0,4,3,1,0,0,0,4,4149.5
Shayna Automobile Inh. Pajman Kanani,4,6,5,3,9,0,12,0,2,4,6,12,0,0,531.3333333
Jakob Lauff GmbH & Co. KG,1,10,4,1,0,0,0,1,1,0,0,0,0,1,695
AUTO-PARK RATH - DÜSSELDORF,2,9,6,2,1,0,0,3,3,0,0,0,0,3,1018.666667
MASCIOLI TIZIANO,1,7,2,1,0,0,1,0,0,1,0,1,0,0,253
AUTO VAN DIJK B.V.,3,5,6,8,0,0,5,3,4,4,0,5,3,0,485.25
Garage gomes,1,9,4,1,0,0,0,1,1,0,0,0,0,1,505
AUTO PLAZA BUCURESTI S.R.L.,2,9,8,0,3,1,1,3,1,3,0,0,0,4,258.5
BELLE AUTO,2,6,4,3,0,0,2,1,0,3,0,2,1,0,214.3333333
S A SCHOLTEN,1,10,4,0,1,0,1,0,1,0,0,0,0,1,913
Autotalo Järvi Oy,3,10,9,5,0,1,2,4,4,2,0,0,1,5,1042.666667
ME-VI AUTÓ Kft,6,5,6,28,0,0,28,0,1,27,0,28,0,0,437.3571429
"Autohof Oldenburg, Inh. Mohamad Ghazal",1,8,3,1,1,0,2,0,0,2,0,2,0,0,369.5
FHU MONIKA ROSZCZYPAŁA,2,9,3,4,0,0,4,0,0,4,0,4,0,0,427
PETRESKI GOTSE MILAN,3,5,5,5,0,0,1,4,4,1,0,1,4,0,1177.4
AUTO DUE G FRATELLI RIVAROSA S.R.L.,3,7,7,9,0,0,5,4,8,1,0,1,8,0,733.6666667
Integralas UAB,1,10,2,1,1,0,2,0,0,1,1,2,0,0,-266.5
ZAHAROGIANNIS ANONIMI ETAIREIA EMPOREIAS AFTOKINITON ANTALLAKTIKON KAI SERVIS  ZAHAROGIANNIS AE,1,6,3,1,0,0,0,1,0,1,0,0,1,0,968
2T Automobile GmbH,1,10,6,0,2,0,0,2,2,0,0,0,0,2,485
DS TRADE MONOPROSOPI IKE DS TRADE,3,3,7,7,0,0,2,5,0,7,0,0,5,2,659.5714286
ERNESTAS BADAUSKAS,1,10,3,1,0,0,0,1,0,0,1,0,1,0,-271
UAB Euroautus,4,8,8,6,2,2,10,0,0,2,8,3,4,3,676.2
L & H Automobile GbR,1,5,4,1,0,0,0,1,1,0,0,0,0,1,416
Autohaus Unterberger GmbH - Rosenheim,4,8,10,3,1,7,0,11,11,0,0,0,0,11,2051.545455
Sainte Mere Auto,1,7,3,1,0,0,1,0,0,1,0,0,1,0,517
ADAM GŁOWACKI BMWM Adam Głowacki,1,7,3,1,0,0,0,1,1,0,0,0,1,0,313
OLIV CENTER AUTO,4,7,9,9,4,0,8,5,5,8,0,1,2,10,1246.230769
JMC Auto s.r.o.,1,8,3,1,0,0,1,0,0,1,0,0,1,0,847
FORYSZEWSKI RADOSŁAW FOREX LINGERIE,5,4,6,18,0,0,18,0,1,9,8,17,1,0,574.5
INIOHOS EE,6,4,9,23,0,0,0,23,19,4,0,2,16,5,835.0869565
Przewóz Osób Busik Dawid Krupa,1,7,3,1,0,0,0,1,0,1,0,0,1,0,333
"VM Service, Inh. Viktor Metzler",4,3,6,6,4,0,9,1,1,6,3,7,2,1,517.9
"Oberst Automobile, Inh. Andreas Oberst",1,9,3,1,0,0,1,0,1,0,0,0,1,0,785
Antoinette company s. r. o.,3,7,4,8,0,0,8,0,0,1,7,8,0,0,363.5
"Autowelt Burscheid, Inh. Imam Tugcu",1,10,2,1,0,0,1,0,0,1,0,1,0,0,497
Mehmet Cevik und Fatih Cevik GbR,6,3,9,15,6,1,19,3,2,19,1,14,7,1,533.3636364
LUPI AUTO S.P.A.,1,9,5,1,1,0,1,1,2,0,0,0,0,2,774
"UAB ""Lukaja""",3,1,7,2,4,0,4,2,0,1,5,1,3,2,578.8333333
IDISZ - CARS Sebastian Iwan,2,9,2,4,0,0,4,0,0,3,1,4,0,0,-137
Rajta Autó Korlátolt Felelősségű Társaság,3,4,5,9,0,0,9,0,0,8,1,9,0,0,442.5555556
DUMO Automotive,3,5,7,6,2,1,9,0,1,8,0,0,8,1,942.5555556
"Autopark Demis, Inh. Mehmet Demis",3,2,9,6,0,1,0,7,6,1,0,0,1,6,491.7142857
Stadhuis Auto's,6,6,11,1,12,15,9,19,7,20,1,0,4,24,816.3571429
GDS Autos 19,1,9,6,1,0,0,1,0,1,0,0,0,0,1,1398
Profikol Wioletta Goławska,1,4,5,1,1,0,0,2,1,0,1,0,0,2,1082
"KR-Automobile, Inh. Klaus Reckers",1,10,4,1,0,0,0,1,1,0,0,0,0,1,845
"Fa Reinert, Inh. Udo Reinert",2,6,3,3,1,0,4,0,0,4,0,4,0,0,419.5
Lukatrans s.r.o.,1,10,4,0,0,2,2,0,0,2,0,0,1,1,-302
AK AUTO Arkadiusz Kowolik,3,7,6,5,2,0,5,2,2,5,0,3,4,0,445.1428571
Tano Neumann Auto Performance GmbH,1,8,4,0,1,0,0,1,0,1,0,0,0,1,-794
Handelsonderneming Endendijk,3,8,5,3,0,2,5,0,0,4,1,2,3,0,283.2
Adam Sieprawski Kupno - Sprzedaż Samochodów,1,10,2,1,0,0,1,0,1,0,0,1,0,0,-1412
Motor-Car Prešov s.r.o.,7,4,11,4,22,6,0,32,13,19,0,0,0,32,1045.0625
Cm Hiustalo Oy,1,10,7,0,0,1,1,0,0,0,1,0,0,1,2100
"Automarkt Trier, Inh. Ramzi El Asmar",3,8,5,8,0,0,8,0,5,3,0,7,1,0,254.25
VOF ROVARO CARS,1,9,2,1,0,0,1,0,1,0,0,1,0,0,622
SCUDERIA37 S.R.L.,3,4,9,0,5,1,0,6,6,0,0,0,0,6,487.1666667
DC-Automobile Inh. Daniel Chwalczyk,6,3,9,25,0,0,22,3,21,4,0,3,20,2,786.6
BVBA AUTOHANDEL VERMOTE,1,1,5,2,0,0,1,1,2,0,0,0,1,1,948.5
Jarmo Rinta-Jouppi Oy,3,9,10,1,0,8,0,9,9,0,0,0,0,9,2296.777778
VICENTE E JOEL AUTOMOVEIS LDA,1,9,5,0,1,0,0,1,1,0,0,0,0,1,1101
PE YASMARIN,3,1,3,6,0,0,6,0,0,3,3,6,0,0,406.8333333
Automakler-Seidenstadt AS UG Haftungsbeschränkt,5,7,5,17,1,0,18,0,9,9,0,18,0,0,205.5
Mercedes-Benz Autohaus Herten GmbH Düren,1,1,6,0,2,0,1,1,2,0,0,0,0,2,699
"IK-Automobile, Inh. Ihsan Karalioglu",3,7,7,5,3,0,8,0,2,6,0,0,8,0,670.25
BANIX VEICULOS TRANSPORTE SA,1,7,7,1,1,0,0,2,2,0,0,0,0,2,1546.5
"Bose Automobile, Inh. Murat Celtik",1,10,5,0,0,2,2,0,0,1,1,0,0,2,463.5
AH Primm GmbH,3,9,3,8,0,0,8,0,3,5,0,8,0,0,249.75
BD Garage s.r.o.,4,7,9,4,6,0,5,5,0,9,1,0,3,7,1257.8
STAR AUTO LEASING S.R.L.,1,9,2,2,0,0,2,0,0,2,0,2,0,0,286
GUILLERMO GARCIA PEÑA,1,9,3,0,1,0,1,0,0,1,0,0,1,0,729
"AUTA SZCZYTNO-MAZURSKA PUSZCZA S.C. KRZYSZTOF SAWICKI, ŁUKASZ ZIELIŃSKI",1,10,2,1,0,0,1,0,0,0,1,1,0,0,300
"UAB ""ALTMEDA"" Tadas Kirilevičius",1,8,4,0,2,0,2,0,0,0,2,0,2,0,539
STANILA CIPRIAN DANIEL ÎNTREPRINDERE INDIVIDUALĂ,2,8,4,2,1,0,3,0,0,3,0,1,2,0,141.6666667
CARLOS LONGLE UNIPESSOAL LDA,1,10,2,1,0,0,1,0,0,0,1,1,0,0,1366
AUTO TAXI IDIOTIKI KEFALAIOYXIKI ETAIREIA || TO TAKSIMETRA EI I K E,1,10,3,1,0,0,0,1,0,0,1,0,1,0,321
Auto Weller GmbH & Co. KG Münster,1,10,5,0,1,0,0,1,1,0,0,0,0,1,1538
RAD & SIM AUTO-MOTO S.R.L.,3,3,5,6,2,0,8,0,0,4,4,7,1,0,351.125
Garage Sposato GmbH,2,6,9,1,1,2,0,4,4,0,0,0,0,4,678.5
ZOUGANELIS GEORGIOS EVAGGELOS,1,7,2,1,0,0,1,0,1,0,0,1,0,0,608
STOMAGRUP 19 DOO SKOPJE,1,10,2,0,1,0,1,0,0,1,0,1,0,0,400
"Automakler Chemnitz, Inh. Gunar Schaarschmidt",2,10,2,2,1,0,3,0,0,0,3,3,0,0,-21.66666667
Imex Carstore GmbH,3,7,9,1,4,0,0,5,2,1,2,0,0,5,752.6
Peter Autozentrum Anhalt GmbH - Dessau-Roßlau,7,5,12,4,29,1,0,34,34,0,0,0,0,34,2605.088235
Tax&Co Consulting Kft,1,10,3,2,0,0,2,0,0,2,0,2,0,0,958.5
MARGONIS KONSTANTINOS EE,4,8,7,12,1,0,6,7,3,10,0,11,1,1,740.6923077
HAVALKO YURII IHOROVYCH,1,10,4,1,0,0,0,1,0,0,1,0,0,1,476
Dalibor Bednář,1,10,1,1,0,0,1,0,0,1,0,1,0,0,240
Yonck automobile,6,2,7,22,2,0,24,0,4,20,0,21,2,1,424.2083333
Handlarfinans Sverige AB,2,4,9,0,0,4,1,3,3,0,1,0,0,4,1269.5
AUTOHAUS UITZ GmbH,1,10,6,0,1,0,0,1,1,0,0,0,0,1,165
CAR EXPRESS KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,5,2,9,15,2,0,8,9,17,0,0,0,6,11,823.7647059
Autohaus Priller Handels GmbH,3,9,9,1,4,0,0,5,4,1,0,0,0,5,1969.4
LESYK OLEKSII,1,1,1,1,0,0,1,0,0,0,1,1,0,0,172
Alex Automobile GbR,3,7,5,7,0,0,7,0,6,1,0,6,1,0,620.5714286
MAZZOLI S.R.L.,1,9,5,0,1,0,0,1,1,0,0,0,0,1,792
CAR-TRANS Kamil Gieremek,3,5,4,7,1,0,8,0,0,4,4,8,0,0,366.25
AUTO - VaSt s.r.o.,1,10,3,0,1,0,1,0,0,1,0,0,1,0,287
"Wolf Cars, Inh. Andre Wolf",3,7,8,6,0,0,1,5,2,4,0,0,0,6,501.6666667
Zwiep Totaal Techniek,1,10,4,2,0,0,0,2,2,0,0,0,1,1,1406
MB Lifemind,1,9,3,1,1,0,2,0,0,0,2,2,0,0,435
Autohaus Gruber GmbH,1,10,3,1,0,0,1,0,1,0,0,0,1,0,297
MS CAR Michał Strynkowski,4,4,6,9,1,0,9,1,1,8,1,6,4,0,569.8
SŁAWOMIR LESIECKI AUTO-EURO,1,8,2,1,0,0,1,0,0,0,1,1,0,0,637
AUTOMOVILES PARRA BLESA SL,1,10,4,1,0,0,0,1,0,1,0,0,0,1,1156
Eurl garage ouvrier Benoit,1,9,2,1,0,0,1,0,0,1,0,1,0,0,280
NaMiCar Michał Naworol,1,9,3,2,0,0,2,0,0,2,0,2,0,0,282
"Sonnenberg Automobile, Inh. Dietmar Sonnenberg",1,5,4,1,0,0,0,1,1,0,0,0,0,1,200
"Muhm Automobile, Inh. Thomas Muhm",2,6,7,2,2,0,2,2,2,1,1,1,1,2,559.75
Hetzler-Automobile Vertr. GmbH&Co.KG,1,10,5,0,1,0,0,1,1,0,0,0,0,1,793
SILVIA PATRICIA RODRIGUES ALVES,1,10,4,1,0,0,1,0,0,1,0,0,0,1,352
"Dündar Autohandel, Inh. Mehmet Dündar",2,3,3,4,0,0,4,0,0,1,3,4,0,0,335.25
FIRST AUTOEXPRESS SRL,1,8,3,1,0,0,1,0,0,1,0,0,1,0,769
Epicurean Motors,3,7,9,0,4,2,1,5,6,0,0,0,0,6,1394.333333
DOL CAR KRZYSZTOF KUCHARCZUK,2,9,2,3,0,0,3,0,0,1,2,3,0,0,185.6666667
CARMAX SELECT S.R.L.,1,9,3,2,0,0,1,1,0,1,1,2,0,0,890.5
FIRST-CAR 59,1,10,4,1,0,0,0,1,0,1,0,0,0,1,1539
MONOBLOC SRL,1,10,3,1,0,0,0,1,0,1,0,0,1,0,863
AIDE Jarosław Jenczura,1,9,2,1,0,0,1,0,0,1,0,1,0,0,314
Electro Energy Solutions S.R.L.,1,9,2,1,0,0,1,0,0,1,0,1,0,0,471
innobeko GmbH & Co. KG,6,3,11,3,13,5,2,19,18,3,0,0,1,20,-529.2380952
RMB CASA AUTO TIMISOARA SRL,3,8,9,3,2,0,0,5,2,3,0,0,0,5,-268.4
Kostadin Petkanin,1,8,3,1,1,0,2,0,0,2,0,1,1,0,450
